"stochastic_num","p_trans_hcv","rel_infect","sx_rel","sherlock_id_group","sherlock_id","edge_iter","scenario_id"
4,0.0095,1.4,2,32,9,1,1
5,0.0095,1.4,2,32,10,1,1
1,0.01,1.4,2,33,1,1,1
2,0.01,1.4,2,33,2,1,1
3,0.01,1.4,2,33,3,1,1
4,0.01,1.4,2,33,4,1,1
5,0.01,1.4,2,33,5,1,1
1,0.004,1.5,2,33,6,1,1
2,0.004,1.5,2,33,7,1,1
3,0.004,1.5,2,33,8,1,1
4,0.004,1.5,2,33,9,1,1
5,0.004,1.5,2,33,10,1,1
1,0.0045,1.5,2,34,1,1,1
2,0.0045,1.5,2,34,2,1,1
3,0.0045,1.5,2,34,3,1,1
4,0.0045,1.5,2,34,4,1,1
5,0.0045,1.5,2,34,5,1,1
1,0.005,1.5,2,34,6,1,1
2,0.005,1.5,2,34,7,1,1
3,0.005,1.5,2,34,8,1,1
4,0.005,1.5,2,34,9,1,1
5,0.005,1.5,2,34,10,1,1
1,0.0055,1.5,2,35,1,1,1
2,0.0055,1.5,2,35,2,1,1
3,0.0055,1.5,2,35,3,1,1
4,0.0055,1.5,2,35,4,1,1
5,0.0055,1.5,2,35,5,1,1
1,0.006,1.5,2,35,6,1,1
2,0.006,1.5,2,35,7,1,1
3,0.006,1.5,2,35,8,1,1
4,0.006,1.5,2,35,9,1,1
5,0.006,1.5,2,35,10,1,1
1,0.0065,1.5,2,36,1,1,1
2,0.0065,1.5,2,36,2,1,1
3,0.0065,1.5,2,36,3,1,1
4,0.0065,1.5,2,36,4,1,1
5,0.0065,1.5,2,36,5,1,1
1,0.007,1.5,2,36,6,1,1
2,0.007,1.5,2,36,7,1,1
3,0.007,1.5,2,36,8,1,1
4,0.007,1.5,2,36,9,1,1
5,0.007,1.5,2,36,10,1,1
1,0.0075,1.5,2,37,1,1,1
2,0.0075,1.5,2,37,2,1,1
3,0.0075,1.5,2,37,3,1,1
4,0.0075,1.5,2,37,4,1,1
5,0.0075,1.5,2,37,5,1,1
1,0.008,1.5,2,37,6,1,1
2,0.008,1.5,2,37,7,1,1
3,0.008,1.5,2,37,8,1,1
4,0.008,1.5,2,37,9,1,1
5,0.008,1.5,2,37,10,1,1
1,0.0085,1.5,2,38,1,1,1
2,0.0085,1.5,2,38,2,1,1
3,0.0085,1.5,2,38,3,1,1
4,0.0085,1.5,2,38,4,1,1
5,0.0085,1.5,2,38,5,1,1
1,0.009,1.5,2,38,6,1,1
2,0.009,1.5,2,38,7,1,1
3,0.009,1.5,2,38,8,1,1
4,0.009,1.5,2,38,9,1,1
5,0.009,1.5,2,38,10,1,1
1,0.0095,1.5,2,39,1,1,1
2,0.0095,1.5,2,39,2,1,1
3,0.0095,1.5,2,39,3,1,1
4,0.0095,1.5,2,39,4,1,1
5,0.0095,1.5,2,39,5,1,1
1,0.01,1.5,2,39,6,1,1
2,0.01,1.5,2,39,7,1,1
3,0.01,1.5,2,39,8,1,1
4,0.01,1.5,2,39,9,1,1
5,0.01,1.5,2,39,10,1,1
1,0.004,1.6,2,40,1,1,1
2,0.004,1.6,2,40,2,1,1
3,0.004,1.6,2,40,3,1,1
4,0.004,1.6,2,40,4,1,1
5,0.004,1.6,2,40,5,1,1
1,0.0045,1.6,2,40,6,1,1
2,0.0045,1.6,2,40,7,1,1
3,0.0045,1.6,2,40,8,1,1
4,0.0045,1.6,2,40,9,1,1
5,0.0045,1.6,2,40,10,1,1
1,0.005,1.6,2,41,1,1,1
2,0.005,1.6,2,41,2,1,1
3,0.005,1.6,2,41,3,1,1
4,0.005,1.6,2,41,4,1,1
5,0.005,1.6,2,41,5,1,1
1,0.0055,1.6,2,41,6,1,1
2,0.0055,1.6,2,41,7,1,1
3,0.0055,1.6,2,41,8,1,1
4,0.0055,1.6,2,41,9,1,1
5,0.0055,1.6,2,41,10,1,1
1,0.006,1.6,2,42,1,1,1
2,0.006,1.6,2,42,2,1,1
3,0.006,1.6,2,42,3,1,1
4,0.006,1.6,2,42,4,1,1
5,0.006,1.6,2,42,5,1,1
1,0.0065,1.6,2,42,6,1,1
2,0.0065,1.6,2,42,7,1,1
3,0.0065,1.6,2,42,8,1,1
4,0.0065,1.6,2,42,9,1,1
5,0.0065,1.6,2,42,10,1,1
1,0.007,1.6,2,43,1,1,1
2,0.007,1.6,2,43,2,1,1
3,0.007,1.6,2,43,3,1,1
4,0.007,1.6,2,43,4,1,1
5,0.007,1.6,2,43,5,1,1
1,0.0075,1.6,2,43,6,1,1
2,0.0075,1.6,2,43,7,1,1
3,0.0075,1.6,2,43,8,1,1
4,0.0075,1.6,2,43,9,1,1
5,0.0075,1.6,2,43,10,1,1
1,0.008,1.6,2,44,1,1,1
2,0.008,1.6,2,44,2,1,1
3,0.008,1.6,2,44,3,1,1
4,0.008,1.6,2,44,4,1,1
5,0.008,1.6,2,44,5,1,1
1,0.0085,1.6,2,44,6,1,1
2,0.0085,1.6,2,44,7,1,1
3,0.0085,1.6,2,44,8,1,1
4,0.0085,1.6,2,44,9,1,1
5,0.0085,1.6,2,44,10,1,1
1,0.009,1.6,2,45,1,1,1
2,0.009,1.6,2,45,2,1,1
3,0.009,1.6,2,45,3,1,1
4,0.009,1.6,2,45,4,1,1
5,0.009,1.6,2,45,5,1,1
1,0.0095,1.6,2,45,6,1,1
2,0.0095,1.6,2,45,7,1,1
3,0.0095,1.6,2,45,8,1,1
4,0.0095,1.6,2,45,9,1,1
5,0.0095,1.6,2,45,10,1,1
1,0.01,1.6,2,46,1,1,1
2,0.01,1.6,2,46,2,1,1
3,0.01,1.6,2,46,3,1,1
4,0.01,1.6,2,46,4,1,1
5,0.01,1.6,2,46,5,1,1
1,0.004,1.7,2,46,6,1,1
2,0.004,1.7,2,46,7,1,1
3,0.004,1.7,2,46,8,1,1
4,0.004,1.7,2,46,9,1,1
5,0.004,1.7,2,46,10,1,1
1,0.0045,1.7,2,47,1,1,1
2,0.0045,1.7,2,47,2,1,1
3,0.0045,1.7,2,47,3,1,1
4,0.0045,1.7,2,47,4,1,1
5,0.0045,1.7,2,47,5,1,1
1,0.005,1.7,2,47,6,1,1
2,0.005,1.7,2,47,7,1,1
3,0.005,1.7,2,47,8,1,1
4,0.005,1.7,2,47,9,1,1
5,0.005,1.7,2,47,10,1,1
1,0.0055,1.7,2,48,1,1,1
2,0.0055,1.7,2,48,2,1,1
3,0.0055,1.7,2,48,3,1,1
4,0.0055,1.7,2,48,4,1,1
5,0.0055,1.7,2,48,5,1,1
1,0.006,1.7,2,48,6,1,1
2,0.006,1.7,2,48,7,1,1
3,0.006,1.7,2,48,8,1,1
4,0.006,1.7,2,48,9,1,1
5,0.006,1.7,2,48,10,1,1
1,0.0065,1.7,2,49,1,1,1
2,0.0065,1.7,2,49,2,1,1
3,0.0065,1.7,2,49,3,1,1
4,0.0065,1.7,2,49,4,1,1
5,0.0065,1.7,2,49,5,1,1
1,0.007,1.7,2,49,6,1,1
2,0.007,1.7,2,49,7,1,1
3,0.007,1.7,2,49,8,1,1
4,0.007,1.7,2,49,9,1,1
5,0.007,1.7,2,49,10,1,1
1,0.0075,1.7,2,50,1,1,1
2,0.0075,1.7,2,50,2,1,1
3,0.0075,1.7,2,50,3,1,1
4,0.0075,1.7,2,50,4,1,1
5,0.0075,1.7,2,50,5,1,1
1,0.008,1.7,2,50,6,1,1
2,0.008,1.7,2,50,7,1,1
3,0.008,1.7,2,50,8,1,1
4,0.008,1.7,2,50,9,1,1
5,0.008,1.7,2,50,10,1,1
1,0.0085,1.7,2,51,1,1,1
2,0.0085,1.7,2,51,2,1,1
3,0.0085,1.7,2,51,3,1,1
4,0.0085,1.7,2,51,4,1,1
5,0.0085,1.7,2,51,5,1,1
1,0.009,1.7,2,51,6,1,1
2,0.009,1.7,2,51,7,1,1
3,0.009,1.7,2,51,8,1,1
4,0.009,1.7,2,51,9,1,1
5,0.009,1.7,2,51,10,1,1
1,0.0095,1.7,2,52,1,1,1
2,0.0095,1.7,2,52,2,1,1
3,0.0095,1.7,2,52,3,1,1
4,0.0095,1.7,2,52,4,1,1
5,0.0095,1.7,2,52,5,1,1
1,0.01,1.7,2,52,6,1,1
2,0.01,1.7,2,52,7,1,1
3,0.01,1.7,2,52,8,1,1
4,0.01,1.7,2,52,9,1,1
5,0.01,1.7,2,52,10,1,1
1,0.004,1.8,2,53,1,1,1
2,0.004,1.8,2,53,2,1,1
3,0.004,1.8,2,53,3,1,1
4,0.004,1.8,2,53,4,1,1
5,0.004,1.8,2,53,5,1,1
1,0.0045,1.8,2,53,6,1,1
2,0.0045,1.8,2,53,7,1,1
3,0.0045,1.8,2,53,8,1,1
4,0.0045,1.8,2,53,9,1,1
5,0.0045,1.8,2,53,10,1,1
1,0.005,1.8,2,54,1,1,1
2,0.005,1.8,2,54,2,1,1
3,0.005,1.8,2,54,3,1,1
4,0.005,1.8,2,54,4,1,1
5,0.005,1.8,2,54,5,1,1
1,0.0055,1.8,2,54,6,1,1
2,0.0055,1.8,2,54,7,1,1
3,0.0055,1.8,2,54,8,1,1
4,0.0055,1.8,2,54,9,1,1
5,0.0055,1.8,2,54,10,1,1
1,0.006,1.8,2,55,1,1,1
2,0.006,1.8,2,55,2,1,1
3,0.006,1.8,2,55,3,1,1
4,0.006,1.8,2,55,4,1,1
5,0.006,1.8,2,55,5,1,1
1,0.0065,1.8,2,55,6,1,1
2,0.0065,1.8,2,55,7,1,1
3,0.0065,1.8,2,55,8,1,1
4,0.0065,1.8,2,55,9,1,1
5,0.0065,1.8,2,55,10,1,1
1,0.007,1.8,2,56,1,1,1
2,0.007,1.8,2,56,2,1,1
3,0.007,1.8,2,56,3,1,1
4,0.007,1.8,2,56,4,1,1
5,0.007,1.8,2,56,5,1,1
1,0.0075,1.8,2,56,6,1,1
2,0.0075,1.8,2,56,7,1,1
3,0.0075,1.8,2,56,8,1,1
4,0.0075,1.8,2,56,9,1,1
5,0.0075,1.8,2,56,10,1,1
1,0.008,1.8,2,57,1,1,1
2,0.008,1.8,2,57,2,1,1
3,0.008,1.8,2,57,3,1,1
4,0.008,1.8,2,57,4,1,1
5,0.008,1.8,2,57,5,1,1
1,0.0085,1.8,2,57,6,1,1
2,0.0085,1.8,2,57,7,1,1
3,0.0085,1.8,2,57,8,1,1
4,0.0085,1.8,2,57,9,1,1
5,0.0085,1.8,2,57,10,1,1
1,0.009,1.8,2,58,1,1,1
2,0.009,1.8,2,58,2,1,1
3,0.009,1.8,2,58,3,1,1
4,0.009,1.8,2,58,4,1,1
5,0.009,1.8,2,58,5,1,1
1,0.0095,1.8,2,58,6,1,1
2,0.0095,1.8,2,58,7,1,1
3,0.0095,1.8,2,58,8,1,1
4,0.0095,1.8,2,58,9,1,1
5,0.0095,1.8,2,58,10,1,1
1,0.01,1.8,2,59,1,1,1
2,0.01,1.8,2,59,2,1,1
3,0.01,1.8,2,59,3,1,1
4,0.01,1.8,2,59,4,1,1
5,0.01,1.8,2,59,5,1,1
1,0.004,1.9,2,59,6,1,1
2,0.004,1.9,2,59,7,1,1
3,0.004,1.9,2,59,8,1,1
4,0.004,1.9,2,59,9,1,1
5,0.004,1.9,2,59,10,1,1
1,0.0045,1.9,2,60,1,1,1
2,0.0045,1.9,2,60,2,1,1
3,0.0045,1.9,2,60,3,1,1
4,0.0045,1.9,2,60,4,1,1
5,0.0045,1.9,2,60,5,1,1
1,0.005,1.9,2,60,6,1,1
2,0.005,1.9,2,60,7,1,1
3,0.005,1.9,2,60,8,1,1
4,0.005,1.9,2,60,9,1,1
5,0.005,1.9,2,60,10,1,1
1,0.0055,1.9,2,61,1,1,1
2,0.0055,1.9,2,61,2,1,1
3,0.0055,1.9,2,61,3,1,1
4,0.0055,1.9,2,61,4,1,1
5,0.0055,1.9,2,61,5,1,1
1,0.006,1.9,2,61,6,1,1
2,0.006,1.9,2,61,7,1,1
3,0.006,1.9,2,61,8,1,1
4,0.006,1.9,2,61,9,1,1
5,0.006,1.9,2,61,10,1,1
1,0.0065,1.9,2,62,1,1,1
2,0.0065,1.9,2,62,2,1,1
3,0.0065,1.9,2,62,3,1,1
4,0.0065,1.9,2,62,4,1,1
5,0.0065,1.9,2,62,5,1,1
1,0.007,1.9,2,62,6,1,1
2,0.007,1.9,2,62,7,1,1
3,0.007,1.9,2,62,8,1,1
4,0.007,1.9,2,62,9,1,1
5,0.007,1.9,2,62,10,1,1
1,0.0075,1.9,2,63,1,1,1
2,0.0075,1.9,2,63,2,1,1
3,0.0075,1.9,2,63,3,1,1
4,0.0075,1.9,2,63,4,1,1
5,0.0075,1.9,2,63,5,1,1
1,0.008,1.9,2,63,6,1,1
2,0.008,1.9,2,63,7,1,1
3,0.008,1.9,2,63,8,1,1
4,0.008,1.9,2,63,9,1,1
5,0.008,1.9,2,63,10,1,1
1,0.0085,1.9,2,64,1,1,1
2,0.0085,1.9,2,64,2,1,1
3,0.0085,1.9,2,64,3,1,1
4,0.0085,1.9,2,64,4,1,1
5,0.0085,1.9,2,64,5,1,1
1,0.009,1.9,2,64,6,1,1
2,0.009,1.9,2,64,7,1,1
3,0.009,1.9,2,64,8,1,1
4,0.009,1.9,2,64,9,1,1
5,0.009,1.9,2,64,10,1,1
1,0.0095,1.9,2,65,1,1,1
2,0.0095,1.9,2,65,2,1,1
3,0.0095,1.9,2,65,3,1,1
4,0.0095,1.9,2,65,4,1,1
5,0.0095,1.9,2,65,5,1,1
1,0.01,1.9,2,65,6,1,1
2,0.01,1.9,2,65,7,1,1
3,0.01,1.9,2,65,8,1,1
4,0.01,1.9,2,65,9,1,1
5,0.01,1.9,2,65,10,1,1
1,0.004,2,2,66,1,1,1
2,0.004,2,2,66,2,1,1
3,0.004,2,2,66,3,1,1
4,0.004,2,2,66,4,1,1
5,0.004,2,2,66,5,1,1
1,0.0045,2,2,66,6,1,1
2,0.0045,2,2,66,7,1,1
3,0.0045,2,2,66,8,1,1
4,0.0045,2,2,66,9,1,1
5,0.0045,2,2,66,10,1,1
1,0.005,2,2,67,1,1,1
2,0.005,2,2,67,2,1,1
3,0.005,2,2,67,3,1,1
4,0.005,2,2,67,4,1,1
5,0.005,2,2,67,5,1,1
1,0.0055,2,2,67,6,1,1
2,0.0055,2,2,67,7,1,1
3,0.0055,2,2,67,8,1,1
4,0.0055,2,2,67,9,1,1
5,0.0055,2,2,67,10,1,1
1,0.006,2,2,68,1,1,1
2,0.006,2,2,68,2,1,1
3,0.006,2,2,68,3,1,1
4,0.006,2,2,68,4,1,1
5,0.006,2,2,68,5,1,1
1,0.0065,2,2,68,6,1,1
2,0.0065,2,2,68,7,1,1
3,0.0065,2,2,68,8,1,1
4,0.0065,2,2,68,9,1,1
5,0.0065,2,2,68,10,1,1
1,0.007,2,2,69,1,1,1
2,0.007,2,2,69,2,1,1
